slug	direct	with_descendants	parent	alias_of	description
type-errata-specific-insect	8				
unique-counters-matter	8				Cards that care about specifically different types of counters.
affinity-for-creatures	7	7	creature-count-matters		
alternate-cost-life	7				Cards that let you pay life to play them for less or no mana
animate-dead-like	7				Enchantments that put stuff on the battlefield and then become Auras enchanting those things.
banish-graveyard	7				Exile one or more cards from graveyards as long as this remains in play. Often used as roundabout recursion.
board-reset	7				Cards that remove the entire battlefield.
clone-graveyard	7				Cards that enter as a copy of another card, but sourced from the graveyard rather than the battlefield.
color-count-matters	7				Cards that care about the exact number of colors a card has. See also [synergy-color-each](synergy-color-each).
control-attacker	7				
copy	7				Effects that copy things
cost-reducer-equipment	7				
cycle-apc-envoy	7				
cycle-da1-stage	7				
cycle-khm-r-god	7				
cycle-ori-c-spell-mastery	7				
cycle-tr-mage	7				A multi-set "mega cycle" of wizards that tutor for an artifact card of a specific mana value, with their card name starting with "Tr-"
cycle-usg-rune-protection	7				
damage-stays	7				Cards that prevent damage from being removed from one or more creatures during cleanup steps.
delayed-payment	7				Cards which you can play now, and pay for later
discard-outlet-nonland	7				
double-strike-counter	7				
extra-upkeep	7				
flicker-land	7				
gains-defender	7				
gains-landwalk	7				
gains-ward	7				
gives-annihilator	7				
gives-drawlink	7				
gives-escape	7				
gives-melee	7				
gives-persist	7				
gives-rampage	7				
gives-swampwalk	7				
grafted-skullcap	7				Draw extra cards every turn, but discard your hand at the end of your turn.
grave-pact	7				Cards that have abilities worded: "whenever creature you contol dies, each opponent sacrifices a creature."
graveyard-fuel-nonland	7				
hate-commander	7				
hate-defender	7				
hate-face-down	7				
hate-off-turn-cast	7				
hate-suspend	7				
hate-typal-non-elf	7				
hate-typal-non-spirit	7				
impulse-enchantment-aura	7				
keywords-matter	7				Cards that care about keywords explicitly. Note that this is different from [keyword soup](keyword-soup).
mana-restriction	7				Spells with unusual restrictions on how they can be paid for.
no-mercy	7				Cards that destroy creatures that damage you.
old-ward	7				"When this gets targeted by a spell/ability an opponent controls, counter it unless they do X". Would probably be replaced by the ward ability now.
opponent-sacrifices	7				
outlast-mentor	7				Creatures with Outlast that boost your creatures that have counters on them.
phyrexian-mana-ability	7				Cards whose activated abilities cost phyrexian mana
pierce	7				Cards whose excess damage is dealt to their target's controller instead.
probe	7				Draw three cards, then discard two cards. Not to be confused with [compulsive research](compulsive-research) or [sift](sift).
promotes-to-commander	7				Cards that make things that aren't commanders, commanders.
protects-nonland	7				
pseudo-exert	7				
reanimate-artifact-creature	7				
regrowth-equipment	7				
repeatable-junk	7				
rupture-spire	7				Not only does this land enter tapped, it also requires you to tap another land when you play it.
save-from-death	7				
shares-name-with-a-format	7				
sneak-from-command-zone	7				
specific-toughness-matters	7				
synergy-bobblehead	7				
synergy-colored	7				Cards that synergize with cards that are any color at all. See also [synergy-color-each](synergy-color-each) and [color count matters](color-count-matters).
synergy-face-down-cast	7				
synergy-locus	7				
synergy-monocolor	7				Cards that care about things being a single color.
synergy-multicolor-pair	7				
synergy-mutate	7				
synergy-playtest	7				
synergy-proliferate	7				
synergy-pw-chandra	7				
tax-block	7				
theft-enchantment	7				
theft-equipment	7				
third-draw-matters	7				
toughness-matters-total	7				
tutor-color	0	7	tutor		Cards that tutor by color.
tutor-creature-legendary	7				Cards that tutor legendary creature cards.
tutor-legendary	7				Cards that tutor legendary cards.
tutor-permanent	7				Cards that tutor for any permanent.
typal-kavu	7				
typal-myr	7				
typal-non-share	7				
typal-ooze	7				
typal-thopter	7				
type-errata-specific-bird	7				
bounce	6				Returning a permanent from the battlefield to its owner's hand
creates-oracle-copy	6				These cards create a copy of an Oracle card by name and cast it. (CR 707.13)
cycle-basic-snow-land	6				
cycle-bng-draft-signpost	6				
cycle-bok-genju	6				
cycle-bro-command	6				
cycle-clu-suspect	6				
cycle-da1-poison-tolerance	6				
cycle-dom-legendary-sorcery	6				
cycle-dst-lucky-charm	6				
cycle-eoe-legend-after	6				
cycle-eoe-legend-before	6				
cycle-fut-spellshaper	6				Cycle of creatures that make a token copy of an existing creature (Or yet to exist creature, in the case of Goldmeadow Lookout)
cycle-hbg-alora	6				
cycle-hbg-amber	6				
cycle-hbg-gale	6				
cycle-hbg-gut	6				
cycle-hbg-imoen	6				
cycle-hbg-jaheira	6				
cycle-hbg-karlach	6				
cycle-hbg-klement	6				
cycle-hbg-lae-zel	6				
cycle-hbg-lukamina	6				
cycle-hbg-lulu	6				
cycle-hbg-rasaad	6				
cycle-hbg-sarevok	6				
cycle-hbg-shadowheart	6				
cycle-hbg-skanos	6				
cycle-hbg-vhal	6				
cycle-hbg-viconia	6				
cycle-hbg-wilson	6				
cycle-hbg-wyll	6				
cycle-horizon-land	6				
cycle-jud-wormfang-vertical	6				
cycle-lea-basic-land	6				
cycle-lrw-r-champion	6				
cycle-m15-soul	6				
cycle-m19-mare	6				🐎🐎🐎🐎🐎 and 🐎
cycle-m21-planeswalker	6				
cycle-m21-sanctum	6				
cycle-mh2-no-mana-cost-suspend	6				
cycle-mmq-cateran-recruiter	6				A double vertical cycle of six Mercenaires from Mercadian Masques. Each one has the Mercenary recruiting ability  with converted mana costs from 1 to 6.
cycle-mrd-artifact-land	6				The artifact lands from the Mirrodin block.
cycle-mrd-slith	6				
cycle-neo-shrine	6				
cycle-ons-lord	6				
cycle-rix-elder-dinosaur	6				
cycle-scg-mv-matters	6				
cycle-spellshaped-from-fut	6				
cycle-tsp-no-mana-cost-suspend	6				A cycle of older cards, but now with suspend. (And no mana cost, so you have to use suspend)
cycle-unf-single-sticker	6				
cycle-usg-2-cycling-land	6				
cycle-voice-angel	6				
cycle-znr-pathway	6				
discard-outlet-artifact	6				
draw-to-seven	6				Refill your hand back up to a certain size, regardless of how many cards you had in hand.
energy-increaser	6				Cards that increase the amount of energy you get.
equipless-equipment	6				Equipment that do not have an "Equip – [Cost]" ability printed on them.
fallout-perk-name	6				
freeze-nonland	6				
freeze-permanent-any	6				Freeze/stun effects that work against permanents of all types.
functional-art	6				Un-Set cards in which their art doubles as a function of the card, usually as a way to track things.
gains-forestwalk	6				
gains-shadow	6				
gamble	6				Search for a card, and then discard a card at random (with a chance to discard the card you tutored for)
gives-cycling	6				
gives-demonstrate	6				
gives-flanking	6				
gives-mountainwalk	6				
gives-plot	6				
gives-poisonous	6				Gives a creature the ability to give a set amount of poison counters to opponents upon combat damage, like the poisonous keyword
gives-storm	6				
greatest-power-matters	6				Cards that care about a player having the greatest power among creatures
half-mana	6				Cards that add or use one-half mana from Unhinged.
hate-ramp	6				
hate-typal-coward	6				
hate-typal-non-choose	6				
hate-typal-werewolf	6				
hunger-reanimation	6				Creatures this one kills come back into play under your control.
impulse-artifact-vehicle	6				
impulse-nonland	6				
instant-loyalty-ability	6				
last-chance	6				Red cards that manipulate the turn cycle, then kill you.
loot-to-exile	6				
mountainfall	6				
null-rod	6				Effects that prevent the activated abilities of artifacts.
one-off	6				These are cards that have only one known printing of them, as a one-off celebration card. This tag isn't for specific one-off printings, only mechanically unique cards.
precognition	6				Cards that let you freely look at the top card of your library. You know, others don't.
pseudo-haste	6				
regrowth-aura	6				
removes-first-strike	6				
repeatable-maps	6				
seek-instant	6				
seek-permanent	6				
seek-sorcery	6				
sideboard-matters	6				
squad-token	6				
stronger-in-singleton-formats	6				
swampfall	6				
synergy-contraption	6				
synergy-copy	6				
synergy-nonbasic-land	6				
synergy-pw-jace	6				
synergy-shadow	6				
synergy-town	6				
synergy-vanilla	6				Synergizes with creatures that have no abilities.
tap-fuel-token	6				
turn-face-down-self	6				
tutor-nonland	6				Cards that tutor nonland cards.
typal-assembly-worker	6				
typal-boar	6				
typal-citizen	6				
typal-each	6				
typal-god	6				
typal-halfling	6				
typal-horse	6				
typal-plant	6				
typal-sneaky	6				Ninjas and rogues, with their powers combined
typal-warlock	6				
type-addition-frog	6				
type-errata-falcon	6				
type-errata-ghost	6				
type-errata-specific-ape	6				
type-removal-cat-rakshasa	6				Rakshasa used to be Cat Demons or Cat Devils, but they have now lost the Cat type
y-value	6				Cards that use "Y" for a value, usually  for "+X/+Y" effects on creatures.
you-matter	6				Cards that care about physical attributes of the player playing it
activate-from-exile	5	5	activated-ability		Abilities that can be activated from exile.
affinity-for-domain	5	5	affinity-for-land-type		Affinity reducers that care about the range of land types you control.
balance	5				Effects that attempt to equalize the board state between players by forcing players to sacrifice permanents on the battlefield or discard their cards to a number set by the player with the fewest on the field or in hand.
becomes-changeling	5				
bible-reference	5				Cards that were originally explicitly based on The Bible
block-without-creature	5				These cards make something be blocked ... without anything actually doing the blocking.
card-game-reference	5				A series of cards in Mystery Booster 2 that reference other card games.
card-style-matters	5				Foiling, alt art, etc matters.
castable-from-library	5				Cards you can cast or access from your library.
conjure-to-exile	5				Cards that conjure cards into exile.
cost-reducer-aura	5				
creature-type-phantasm	5				
cunning	5				If X attacks and isn't blocked, you may choose to have it deal damage to another target. If done so, X will deal no combat damage.
cycle-1mv-tutor	5				
cycle-5dn-beacon	5				
cycle-5dn-bringer	5				
cycle-5dn-mm-attach-equipment	5				
cycle-a25-allied-enhanced	5				
cycle-a25-same-name-enhanced	5				
cycle-a25-u-legend	5				
cycle-acr-auto-equip	5				
cycle-acr-saga	5				
cycle-aer-aether-servo-creator	5				
cycle-aer-automaton	5				
cycle-aer-expertise	5				
cycle-aer-implement	5				
cycle-aer-legend	5				
cycle-afc-d20-spell	5				
cycle-afc-endeavor	5				
cycle-afr-chromatic-dragon	5				
cycle-afr-color-hate	5				
cycle-afr-creatureland	5				
cycle-afr-m-dragon	5				
cycle-afr-planeswalker	5				
cycle-afr-u-class	5				
cycle-akh-allied-aftermath	5				
cycle-akh-cartouche	5				
cycle-akh-cycle-effect	5				
cycle-akh-dual-cycling-land	5				
cycle-akh-enemy-aftermath	5				
cycle-akh-god	5				
cycle-akh-monocolor-aftermath	5				
cycle-akh-monument	5				
cycle-akh-trial	5				
cycle-ala-4mnno	5				
cycle-ala-allied-2-drop	5				
cycle-ala-backward-ability	5				
cycle-ala-battlemage	5				
cycle-ala-c-1-drop	5				
cycle-ala-c-tricolor	5				
cycle-ala-c-two-color	5				
cycle-ala-charm	5				
cycle-ala-forward-ability	5				
cycle-ala-herald	5				
cycle-ala-legend	5				
cycle-ala-obelisk	5				
cycle-ala-panorama	5				
cycle-ala-r-tricolor	5				
cycle-ala-resounding-spell	5				
cycle-ala-shard-ultimatum	5				
cycle-ala-shardland	5				
cycle-ala-u-tricolor	5				
cycle-all-enemy-hate	5				
cycle-all-pitch-spell	5				
cycle-all-r-tricolor	5				
cycle-all-replacement-land	5				
cycle-all-u-two-color	5				
cycle-apc-disciple	5				
cycle-apc-painland	5				
cycle-apc-r-tricolor	5				
cycle-apc-sanctuary	5				
cycle-apc-split-card	5				
cycle-apc-volver	5				
cycle-arb-allied-equipment	5				
cycle-arb-borderposts	5				
cycle-arb-c-cascade	5				
cycle-arb-c-enemy	5				
cycle-arb-c-hybrid-gold	5				
cycle-arb-crossed-shard	5				
cycle-arb-dual-landcycler	5				
cycle-arb-hybrid-cycler	5				
cycle-arb-legend	5				
cycle-arb-shard-blade	5				
cycle-arb-sojourner	5				
cycle-arb-u-cascade	5				
cycle-arb-u-hybrid-gold	5				
cycle-arb-u-tricolor	5				
cycle-bbd-bond-land	5				
cycle-bbd-c-two-color	5				
cycle-bbd-friend-foe	5				
cycle-bbd-r-two-color	5				
cycle-bfz-blighted-land	5				
cycle-bfz-color-landfall	5				
cycle-bfz-landfall-2-2-pump	5				
cycle-bfz-retreat	5				
cycle-bfz-tangoland	5				
cycle-bfz-utilityland	5				
cycle-blb-c-gift	5				
cycle-blb-c-offspring	5				
cycle-blb-m-mono-calamity	5				
cycle-blb-r-talent	5				
cycle-blb-season	5				
cycle-blb-u-offspring	5				
cycle-blb-u-talent	5				
cycle-blb-valley-caller	5				
cycle-blb-village	5				
cycle-block-bfz-creatureland	5				
cycle-block-zen-monocolor-pw	5				
cycle-bng-archetype	5				
cycle-bng-devotion-x	5				
cycle-bng-fated-spell	5				
cycle-bng-inspired-token	5				
cycle-bng-minor-god	5				
cycle-bng-nyxborn	5				
cycle-bng-tapping-aura	5				
cycle-bng-u-bestow	5				
cycle-bng-u-tribute	5				
cycle-bok-baku	5				
cycle-bok-flip-creature	5				
cycle-bok-kami-patron	5				
cycle-bok-m-sac-spirit	5				
cycle-bok-nomana-splice-arcane	5				
cycle-bok-shoal	5				
cycle-bro-basic-land-count	5				
cycle-bro-c-mulch	5				
cycle-bro-m-color-artifact	5				
cycle-c13-alt-commander	5				
cycle-c13-curse	5				
cycle-c13-face-commander	5				
cycle-c13-reprint-commander	5				
cycle-c13-tempting-offer	5				
cycle-c14-alt-commander	5				
cycle-c14-historical-legend	5				
cycle-c14-lieutenant	5				
cycle-c14-offering	5				
cycle-c14-planeswalker	5				
cycle-c15-alt-commander	5				
cycle-c15-commander-reference	5				
cycle-c15-confluence	5				
cycle-c15-experience-commander	5				
cycle-c15-myriad-creature	5				
cycle-c15-reprint-commander	5				
cycle-c16-basic-landcycling	5				
cycle-c16-face-commander	5				
cycle-c16-r-partner	5				
cycle-c16-u-monocolor	5				The only monocolored new cards at uncommon from C16.
